fractal = parity n position (accelerable interval)
Parity is Even or Odd
Even n = starts with rules ij^n
Odd n = starts with rules j^n
position: position in fractal, represented as (L[LR]*)|End

# big steps | # A(1,c) steps | # A(a,c) steps:  A(1, c); fractal, fractal
0 | 1 | 1:  A(1, 3); Even 6 End 2606 4352, Odd 7 L 2707 3085
1 | 83 | 1018:  A(1, 2733); Even 6 End 2606 4352, Odd 7 L 2707 3085
2 | 95 | 1150:  A(1, 3053); Even 6 End 2606 4352, Odd 7 End 3919 6541
3 | 121 | 1502:  A(1, 3952); Even 6 End 2606 4352, Odd 7 End 3919 6541
4 | 139 | 1664:  A(1, 4348); Even 7 L 5428 6188, Odd 7 End 3919 6541
5 | 166 | 2089:  A(1, 5491); Even 7 L 5428 6188, Odd 7 End 3919 6541
6 | 188 | 2350:  A(1, 6184); Even 7 End 7852 13098, Odd 8 L 8155 9299
7 | 234 | 3104:  A(1, 8168); Even 7 End 7852 13098, Odd 8 L 8155 9299
8 | 270 | 3534:  A(1, 9299); Even 7 End 7852 13098, Odd 8 End 11791 19661
9 | 332 | 4521:  A(1, 11813); Even 7 End 7852 13098, Odd 8 End 11791 19661
10 | 385 | 5051:  A(1, 13082); Even 8 L 16328 18618, Odd 8 End 11791 19661
11 | 465 | 6319:  A(1, 16387); Even 8 L 16328 18618, Odd 8 End 11791 19661
12 | 535 | 7226:  A(1, 18618); Even 8 End 23596 39340, Odd 9 L 24505 27943
13 | 664 | 9527:  A(1, 24540); Even 8 End 23596 39340, Odd 9 L 24505 27943
14 | 770 | 10903:  A(1, 27925); Even 8 End 23596 39340, Odd 9 End 35409 59025
15 | 957 | 13980:  A(1, 35494); Even 8 End 23596 39340, Odd 9 End 35409 59025
16 | 1104 | 15597:  A(1, 39315); Even 9 L 49030 55910, Odd 9 End 35409 59025
17 | 1331 | 19423:  A(1, 49064); Even 9 L 49030 55910, Odd 9 End 35409 59025
18 | 1544 | 22405:  A(1, 55880); Even 9 End 70834 118070, Odd 10 L 73559 83883
19 | 1909 | 29251:  A(1, 73570); Even 9 End 70834 118070, Odd 10 L 73559 83883
20 | 2231 | 33757:  A(1, 83873); Even 9 End 70834 118070, Odd 10 LR 92549 97583
21 | 2411 | 37141:  A(1, 92621); Even 9 End 70834 118070, Odd 10 LR 92549 97583
22 | 2565 | 39451:  A(1, 97557); Even 9 End 70834 118070, Odd 10 End 106265 177121
23 | 2762 | 43012:  A(1, 106356); Even 9 End 70834 118070, Odd 10 End 106265 177121
24 | 3179 | 48016:  A(1, 118031); Even 10 L 147140 167790, Odd 10 End 106265 177121
25 | 3816 | 59477:  A(1, 147165); Even 10 L 147140 167790, Odd 10 End 106265 177121
26 | 4367 | 67739:  A(1, 167722); Even 10 End 212550 354264, Odd 11 L 220725 251703
27 | 5434 | 88548:  A(1, 220727); Even 10 End 212550 354264, Odd 11 L 220725 251703
28 | 6401 | 103053:  A(1, 251677); Even 10 End 212550 354264, Odd 11 LR 277695 292805
29 | 6930 | 113313:  A(1, 277764); Even 10 End 212550 354264, Odd 11 LR 277695 292805
30 | 7331 | 119726:  A(1, 292727); Even 10 End 212550 354264, Odd 11 LRR 303833 309659
31 | 7554 | 124163:  A(1, 303847); Even 10 End 212550 354264, Odd 11 LRR 303833 309659
32 | 7698 | 126611:  A(1, 309607); Even 10 End 212550 354264, Odd 11 End 318839 531413
33 | 7892 | 130452:  A(1, 318848); Even 10 End 212550 354264, Odd 11 End 318839 531413
34 | 9072 | 145792:  A(1, 354248); Even 11 LL 388360 407988, Odd 11 End 318839 531413
35 | 9677 | 158877:  A(1, 388433); Even 11 LL 388360 407988, Odd 11 End 318839 531413
36 | 10210 | 167136:  A(1, 407916); Even 11 L 441474 503434, Odd 11 End 318839 531413
37 | 10884 | 180551:  A(1, 441509); Even 11 L 441474 503434, Odd 11 End 318839 531413
38 | 12432 | 205316:  A(1, 503416); Even 11 LR 555412 585636, Odd 12 LL 582557 612003
39 | 13946 | 236439:  A(1, 582586); Even 11 LR 555412 585636, Odd 12 LL 582557 612003
40 | 14022 | 237731:  A(1, 585626); Even 11 LRR 607690 619344, Odd 12 LL 582557 612003
41 | 14390 | 246243:  A(1, 607743); Even 11 LRR 607690 619344, Odd 12 LL 582557 612003
42 | 14661 | 251121:  A(1, 619308); Even 11 End 637700 1062850, Odd 12 L 662229 755173
43 | 15498 | 268397:  A(1, 662274); Even 11 End 637700 1062850, Odd 12 L 662229 755173
44 | 17986 | 308203:  A(1, 755155); Even 11 End 637700 1062850, Odd 12 LRL 787945 805415
45 | 18552 | 320976:  A(1, 787959); Even 11 End 637700 1062850, Odd 12 LRL 787945 805415
46 | 18984 | 328104:  A(1, 805239); Even 11 End 637700 1062850, Odd 12 LR 833135 878471
47 | 19514 | 339283:  A(1, 833155); Even 11 End 637700 1062850, Odd 12 LR 833135 878471
48 | 20646 | 358527:  A(1, 878435); Even 11 End 637700 1062850, Odd 12 LRR 911551 929033
49 | 21281 | 371875:  A(1, 911594); Even 11 End 637700 1062850, Odd 12 LRR 911551 929033
52 | 22084 | 387259:  A(1, 947163); Even 11 End 637700 1062850, Odd 12 End 956567 1594293
53 | 22261 | 391170:  A(1, 956617); Even 11 End 637700 1062850, Odd 12 End 956567 1594293
54 | 25580 | 437636:  A(1, 1062822); Even 12 LL 1165140 1224038, Odd 12 End 956567 1594293
55 | 27323 | 476953:  A(1, 1165219); Even 12 LL 1165140 1224038, Odd 12 End 956567 1594293
56 | 28852 | 502179:  A(1, 1223930); Even 12 LLR 1266738 1289214, Odd 12 End 956567 1594293
57 | 29567 | 518773:  A(1, 1266738); Even 12 LLR 1266738 1289214, Odd 12 End 956567 1594293
58 | 30122 | 528211:  A(1, 1288941); Even 12 L 1324482 1510374, Odd 12 End 956567 1594293
59 | 30798 | 542713:  A(1, 1324523); Even 12 L 1324482 1510374, Odd 12 End 956567 1594293
60 | 35444 | 621692:  A(1, 1510356); Even 12 LRL 1575916 1610858, Odd 12 End 956567 1594293
61 | 36526 | 647067:  A(1, 1575971); Even 12 LRL 1575916 1610858, Odd 12 End 956567 1594293
62 | 36983 | 654833:  A(1, 1594238); Even 12 LR 1666292 1756972, Odd 13 LL 1747731 1836079
63 | 39831 | 716147:  A(1, 1747766); Even 12 LR 1666292 1756972, Odd 13 LL 1747731 1836079
64 | 40044 | 719981:  A(1, 1756854); Even 12 LRR 1823124 1858096, Odd 13 LL 1747731 1836079
65 | 41160 | 746269:  A(1, 1823141); Even 12 LRR 1823124 1858096, Odd 13 LL 1747731 1836079
